type,adversarial 0.5,adversarial 0.9,mf 0.5,mf 0.9,live 0.5,live 0.9,mf2 0.5,mf2 0.9
3216,5.834834814,31.5821547,35.7580682,7987.013808,271.0920774,1266.095482,4.007107735,8.058214188
3232,5.512951732,58.9848551,174.1848338,1777.285022,1202.795625,6210.683981,21.96898675,44.16824515
4816,12.81679678,272.0719589,267.5232334,3367.415479,945.3642088,5040.948825,9.368974924,17.41751933
4832,8.082112908,37.89747531,19.96631193,160.3043184,3260.626209,11053.91485,92.83975792,195.3799568
