type,decision boundary 0.5,decision boundary 0.9,attack 0.5,attack 0.9,anchor 0.5,anchor 0.9,sensitivity 0.5,sensitivity 0.9
3216,0.029875517,0.075353765,219.2461861,734.0505662,69.06425965,109.0953032,0.111771107,0.115546894
3232,0.029942274,0.127484465,314.1013694,825.6542498,289.6694317,649.7407626,0.158159256,0.161248589
4816,0.026447892,0.047027707,237.8946469,805.5854357,228.3643851,493.4587557,0.172431469,0.1796422
4832,0.230723381,61.05600643,4984.717546,17885.89188,1025.896507,3305.406376,0.232438326,0.271788454
