Features,History,Result,Time
[10],0,unsat,1.9857730865478516
[11],0,unsat,2.0407276153564453
[12],0,unsat,2.1727020740509033
[13],0,unsat,2.173647403717041
[14],0,unsat,1.739856481552124
[15],0,unsat,2.331756353378296
[16],0,unsat,2.0053141117095947
[17],0,unsat,3.2501890659332275
[18],0,unsat,2.3747496604919434
[19],0,unsat,1.7057888507843018
[20],0,unsat,2.8969712257385254
[21],0,unsat,1.9728562831878662
[22],0,unsat,0.8326146602630615
[23],0,unsat,0.6275801658630371
[0],0,unsat,1.9571819305419922
[1],0,unsat,2.0397872924804688
[2],0,unsat,2.1225178241729736
[3],0,unsat,2.45501971244812
[4],0,unsat,2.0166704654693604
[5],0,unsat,1.8748266696929932
[6],0,unsat,1.7014784812927246
[7],0,unsat,2.0206451416015625
[8],0,unsat,2.2079052925109863
[9],0,unsat,2.044804096221924
[10],0,unsat,1.4870171546936035
[11],0,unsat,2.1413462162017822
[12],0,unsat,2.048387289047241
[13],0,unsat,1.9636549949645996
[14],0,unsat,2.7023777961730957
[15],0,unsat,2.4829728603363037
[16],0,unsat,2.2332875728607178
[17],0,unsat,1.7066731452941895
[18],0,unsat,1.8791897296905518
[19],0,unsat,2.0732409954071045
[20],0,unsat,1.8372604846954346
[21],0,unsat,1.9352927207946777
[22],0,unsat,1.1355998516082764
[23],0,unsat,0.639801025390625
[0],0,unsat,2.3218507766723633
[1],0,unsat,2.0414376258850098
[2],0,unsat,1.8477587699890137
[3],0,unsat,2.0719215869903564
[4],0,unsat,2.2487542629241943
[5],0,unsat,2.0851895809173584
[6],0,unsat,1.9133400917053223
[7],0,unsat,1.9008235931396484
[8],0,unsat,1.4583051204681396
[9],0,unsat,2.175807476043701
[10],0,unsat,2.1155846118927
[11],0,unsat,1.429753065109253
[12],0,unsat,1.885873556137085
[13],0,unsat,2.232973575592041
[14],0,unsat,1.803943395614624
[15],0,unsat,2.9256863594055176
[16],0,unsat,2.0763447284698486
[17],0,unsat,2.3434512615203857
[18],0,unsat,2.2827374935150146
[19],0,unsat,2.33133864402771
[20],0,unsat,2.0348317623138428
[21],0,unsat,1.8659768104553223
[22],0,unsat,0.8904798030853271
[23],0,unsat,0.6425459384918213
[0],0,unsat,2.4413976669311523
[1],0,unsat,2.2479488849639893
[2],0,unsat,2.062066078186035
[3],0,unsat,2.003150463104248
[4],0,unsat,2.013890504837036
[5],0,unsat,2.356328010559082
[6],0,unsat,2.272472858428955
[7],0,unsat,1.6606690883636475
[8],0,unsat,1.638545274734497
[9],0,unsat,1.4801909923553467
[10],0,unsat,2.0585973262786865
[11],0,unsat,1.990563154220581
[12],0,unsat,2.2172534465789795
[13],0,unsat,2.008017063140869
[14],0,unsat,2.0414488315582275
[15],0,unsat,1.824378252029419
[16],0,unsat,2.0785624980926514
[17],0,unsat,2.36460018157959
[18],0,unsat,2.361929416656494
[19],0,unsat,1.6119813919067383
[20],0,unsat,1.699946641921997
[21],0,unsat,2.695160150527954
[22],0,unsat,0.8681144714355469
[23],0,unsat,0.6305739879608154
[0],0,unsat,1.737717866897583
[1],0,unsat,1.9392147064208984
[2],0,unsat,2.295677900314331
[3],0,unsat,2.9470865726470947
[4],0,unsat,2.5977470874786377
[5],0,unsat,2.0331127643585205
[6],0,unsat,2.135298490524292
[7],0,unsat,1.8577466011047363
[8],0,unsat,2.3027069568634033
[9],0,unsat,1.640038251876831
[10],0,unsat,2.1118557453155518
[11],0,unsat,2.520324945449829
[12],0,unsat,2.4867501258850098
[13],0,unsat,2.303341865539551
[14],0,unsat,2.511382818222046
[15],0,unsat,1.971529483795166
[16],0,unsat,2.3983449935913086
[17],0,unsat,2.464695453643799
[18],0,unsat,2.1596953868865967
[19],0,unsat,1.9990596771240234
[20],0,unsat,2.2478725910186768
[21],0,unsat,2.213991165161133
[22],0,unsat,0.8937668800354004
[23],0,unsat,0.6362946033477783
[0],0,unsat,2.257246732711792
[1],0,unsat,1.9392457008361816
[2],0,unsat,1.8904345035552979
[3],0,unsat,1.756059169769287
[4],0,unsat,1.7777366638183594
[5],0,unsat,1.809788703918457
[6],0,unsat,2.573061943054199
[7],0,unsat,2.154083728790283
[8],0,unsat,2.098306655883789
[9],0,unsat,2.243642807006836
[10],0,unsat,2.2041656970977783
[11],0,unsat,2.8742644786834717
[12],0,unsat,2.210620164871216
[13],0,unsat,1.759324073791504
[14],0,unsat,1.8784291744232178
[15],0,unsat,2.282829999923706
[16],0,unsat,1.931743860244751
[17],0,unsat,2.44775390625
[18],0,unsat,2.1597342491149902
[19],0,unsat,2.282230854034424
[20],0,unsat,1.605515718460083
[21],0,unsat,2.877643346786499
[22],0,unsat,0.9016027450561523
[23],0,unsat,0.6331303119659424
[0],0,unsat,2.436763286590576
