send_ratio_10,latency_ratio_10,latency_inflation_10,send_ratio_9,latency_ratio_9,latency_inflation_9,send_ratio_8,latency_ratio_8,latency_inflation_8,send_ratio_7,latency_ratio_7,latency_inflation_7,send_ratio_6,latency_ratio_6,latency_inflation_6,send_ratio_5,latency_ratio_5,latency_inflation_5,send_ratio_4,latency_ratio_4,latency_inflation_4,send_ratio_3,latency_ratio_3,latency_inflation_3,send_ratio_2,latency_ratio_2,latency_inflation_2,send_ratio_1,latency_ratio_1,latency_inflation_1,77.83380627632141
send_ratio_10,latency_ratio_10,latency_inflation_10,send_ratio_9,latency_ratio_9,latency_inflation_9,send_ratio_8,latency_ratio_8,latency_inflation_8,send_ratio_7,latency_ratio_7,latency_inflation_7,send_ratio_6,latency_ratio_6,latency_inflation_6,send_ratio_5,latency_ratio_5,latency_inflation_5,send_ratio_4,latency_ratio_4,latency_inflation_4,send_ratio_3,latency_ratio_3,latency_inflation_3,send_ratio_2,latency_ratio_2,latency_inflation_2,send_ratio_1,latency_ratio_1,latency_inflation_1,108.7622423171997
send_ratio_10,latency_ratio_10,latency_inflation_10,latency_ratio_9,send_ratio_6,send_ratio_8,latency_inflation_8,send_ratio_9,latency_inflation_9,latency_ratio_8,send_ratio_7,latency_ratio_7,latency_inflation_7,latency_ratio_6,latency_inflation_1,latency_inflation_2,latency_ratio_2,send_ratio_1,latency_inflation_3,latency_ratio_3,latency_ratio_1,send_ratio_3,latency_inflation_4,latency_ratio_4,send_ratio_4,send_ratio_2,latency_inflation_5,latency_ratio_5,send_ratio_5,latency_inflation_6,112.09285116195679
latency_ratio_2,send_ratio_10,latency_inflation_1,send_ratio_1,send_ratio_3,latency_inflation_10,latency_ratio_1,send_ratio_7,send_ratio_9,latency_inflation_7,latency_ratio_10,latency_inflation_9,latency_ratio_8,latency_ratio_9,latency_ratio_3,send_ratio_8,send_ratio_2,latency_inflation_8,latency_ratio_7,latency_inflation_4,send_ratio_6,latency_inflation_6,latency_ratio_6,latency_inflation_3,latency_inflation_2,send_ratio_5,latency_inflation_5,send_ratio_4,latency_ratio_4,latency_ratio_5,71.46514010429382
latency_inflation_1,send_ratio_1,latency_ratio_4,send_ratio_8,latency_inflation_10,latency_ratio_10,send_ratio_6,send_ratio_9,latency_ratio_9,latency_ratio_5,latency_inflation_9,latency_ratio_8,latency_inflation_8,latency_ratio_7,latency_inflation_7,send_ratio_10,latency_ratio_3,latency_ratio_2,send_ratio_3,latency_ratio_1,send_ratio_2,latency_inflation_5,send_ratio_5,send_ratio_7,latency_inflation_3,latency_ratio_6,send_ratio_4,latency_inflation_2,latency_inflation_4,latency_inflation_6,71.3301134109497
send_ratio_10,latency_ratio_10,latency_inflation_10,send_ratio_9,latency_ratio_9,latency_inflation_9,send_ratio_8,latency_ratio_8,latency_inflation_8,send_ratio_7,latency_ratio_7,latency_inflation_7,send_ratio_6,latency_ratio_6,latency_inflation_6,send_ratio_5,latency_ratio_5,latency_inflation_5,send_ratio_4,latency_ratio_4,latency_inflation_4,send_ratio_3,latency_ratio_3,latency_inflation_3,send_ratio_2,latency_ratio_2,latency_inflation_2,send_ratio_1,latency_ratio_1,latency_inflation_1,61.0557427406311
latency_ratio_9,latency_inflation_9,latency_ratio_8,latency_inflation_8,send_ratio_7,latency_ratio_7,latency_inflation_7,send_ratio_10,latency_ratio_10,latency_inflation_10,send_ratio_9,send_ratio_8,latency_inflation_1,latency_inflation_2,latency_ratio_2,send_ratio_2,send_ratio_1,latency_inflation_3,latency_ratio_3,latency_ratio_1,send_ratio_3,latency_inflation_4,latency_ratio_4,send_ratio_4,latency_inflation_5,latency_ratio_5,send_ratio_5,latency_inflation_6,latency_ratio_6,send_ratio_6,66.79840588569641
latency_inflation_2,latency_ratio_2,latency_ratio_3,send_ratio_1,send_ratio_9,latency_inflation_1,latency_ratio_1,send_ratio_10,latency_ratio_9,latency_inflation_8,send_ratio_6,latency_inflation_10,latency_ratio_10,send_ratio_8,latency_inflation_9,latency_ratio_8,send_ratio_7,latency_ratio_7,latency_inflation_3,latency_inflation_7,send_ratio_3,latency_ratio_6,latency_inflation_6,send_ratio_5,latency_ratio_5,latency_inflation_5,send_ratio_2,send_ratio_4,latency_ratio_4,latency_inflation_4,38.671672344207764
latency_ratio_2,latency_inflation_6,latency_inflation_3,send_ratio_5,send_ratio_8,latency_ratio_6,send_ratio_1,latency_inflation_2,send_ratio_9,latency_inflation_8,latency_inflation_7,latency_inflation_9,send_ratio_6,latency_inflation_1,send_ratio_10,send_ratio_3,latency_ratio_1,latency_inflation_10,latency_ratio_10,latency_ratio_9,send_ratio_7,latency_ratio_8,latency_ratio_3,latency_ratio_7,send_ratio_2,latency_inflation_4,latency_ratio_4,send_ratio_4,latency_ratio_5,latency_inflation_5,45.83403134346008
latency_inflation_2,send_ratio_1,latency_inflation_8,latency_ratio_1,latency_ratio_5,send_ratio_9,latency_ratio_4,latency_ratio_9,latency_ratio_10,latency_ratio_8,send_ratio_10,send_ratio_6,send_ratio_2,latency_inflation_9,latency_inflation_1,latency_inflation_3,latency_ratio_3,send_ratio_5,send_ratio_8,send_ratio_7,latency_ratio_2,latency_inflation_10,latency_inflation_5,latency_ratio_6,send_ratio_4,send_ratio_3,latency_inflation_4,latency_inflation_6,latency_inflation_7,latency_ratio_7,41.88007688522339
