Features,History,Epsilon,Result,Time
[11],10,0.0075,unsat,0.5089895725250244
[11],10,0.01,unsat,0.5101244449615479
[11],10,0.0125,unsat,0.5099639892578125
[11],10,0.015,unsat,0.5055575370788574
[11],10,0.0175,unsat,0.5116870403289795
[11],10,0.02,unsat,0.5136158466339111
[11],10,0.0225,unsat,0.5206472873687744
[11],10,0.025,unsat,0.5094406604766846
[11],10,0.0275,unsat,0.5073556900024414
[11],10,0.03,unsat,0.5128400325775146
[11],10,0.0325,unsat,0.5023186206817627
[11],10,0.035,unsat,0.5162911415100098
[11],10,0.0375,unsat,0.5143060684204102
[11],10,0.04,unsat,0.5256333351135254
[11],10,0.0425,unsat,0.5111711025238037
[11],10,0.045,unsat,0.5067758560180664
[11],10,0.0475,unsat,0.5230433940887451
[11],10,0.05,unsat,0.513214111328125
[11],10,0.0025,unsat,0.5174891948699951
[11],10,0.005,unsat,0.5128746032714844
[11],10,0.0075,unsat,0.518993616104126
[11],10,0.01,unsat,0.5166501998901367
[11],10,0.0125,unsat,0.510584831237793
[11],10,0.015,unsat,0.5172734260559082
[11],10,0.0175,unsat,0.5111250877380371
[11],10,0.02,unsat,0.5178484916687012
[11],10,0.0225,unsat,0.5117363929748535
[11],10,0.025,unsat,0.5218918323516846
[11],10,0.0275,unsat,0.5242369174957275
[11],10,0.03,unsat,0.5137524604797363
[11],10,0.0325,unsat,0.5185465812683105
[11],10,0.035,unsat,0.5126953125
[11],10,0.0375,unsat,0.5166997909545898
[11],10,0.04,unsat,0.5072722434997559
[11],10,0.0425,unsat,0.517920970916748
[11],10,0.045,unsat,0.528566837310791
[11],10,0.0475,unsat,0.5100173950195312
[11],10,0.05,unsat,0.5140423774719238
[11],10,0.0025,unsat,0.5115420818328857
[11],10,0.005,unsat,0.517235517501831
[11],10,0.0075,unsat,0.5134251117706299
[11],10,0.01,unsat,0.5200333595275879
[11],10,0.0125,unsat,0.5195949077606201
[11],10,0.015,unsat,0.5109207630157471
[11],10,0.0175,unsat,0.5140073299407959
[11],10,0.02,unsat,0.5085229873657227
[11],10,0.0225,unsat,0.5137920379638672
[11],10,0.025,unsat,0.5121519565582275
[11],10,0.0275,unsat,0.5225799083709717
[11],10,0.03,unsat,0.5211782455444336
[11],10,0.0325,unsat,0.5173389911651611
[11],10,0.035,unsat,0.519371509552002
[11],10,0.0375,unsat,0.5138905048370361
[11],10,0.04,unsat,0.518275260925293
[11],10,0.0425,unsat,0.5088410377502441
[11],10,0.045,unsat,0.5179736614227295
[11],10,0.0475,unsat,0.5230162143707275
[11],10,0.05,unsat,0.5100388526916504
[11],10,0.0025,unsat,0.5209071636199951
[11],10,0.005,unsat,0.5065255165100098
[11],10,0.0075,unsat,0.5214159488677979
[11],10,0.01,unsat,0.5143828392028809
[11],10,0.0125,unsat,0.519127607345581
[11],10,0.015,unsat,0.517486572265625
[11],10,0.0175,unsat,0.5146298408508301
[11],10,0.02,unsat,0.5161645412445068
[11],10,0.0225,unsat,0.5143980979919434
[11],10,0.025,unsat,0.5166707038879395
[11],10,0.0275,unsat,0.5151121616363525
[11],10,0.03,unsat,0.5203073024749756
[11],10,0.0325,unsat,0.51596999168396
[11],10,0.035,unsat,0.5338048934936523
[11],10,0.0375,unsat,0.5137012004852295
[11],10,0.04,unsat,0.5137009620666504
[11],10,0.0425,unsat,0.5170543193817139
[11],10,0.045,unsat,0.5148055553436279
[11],10,0.0475,unsat,0.5202312469482422
[11],10,0.05,unsat,0.5193727016448975
