Historys,Result,Time
0,right,0.00865316390991211
1,right,3.560150623321533
2,right,6.334954500198364
3,right,10.416103601455688
4,right,4.5256428718566895
5,right,9.007006406784058
6,right,38.476184606552124
7,right,24.552465200424194
