Features,History,Epsilon,Result,Time
[0],10,0.00025,able,5.010974407196045
[1],10,0.00025,able,4.5486884117126465
[2],10,0.00025,able,9.248004674911499
"[0, 1, 2]",10,0.00025,able,33.519997358322144
[0],5,0.00025,able,1.733508586883545
[1],5,0.00025,able,1.1669321060180664
[2],5,0.00025,able,2.8572299480438232
"[0, 1, 2]",5,0.00025,able,9.673132419586182
[0],3,0.00025,able,0.747159481048584
[1],3,0.00025,able,0.6928153038024902
[2],3,0.00025,able,0.7963860034942627
"[0, 1, 2]",3,0.00025,able,3.7316036224365234
[0],10,0.0005,able,6.985331058502197
[1],10,0.0005,able,5.201144218444824
[2],10,0.0005,able,6.6632490158081055
"[0, 1, 2]",10,0.0005,able,43.28065633773804
[0],5,0.0005,able,1.6381893157958984
[1],5,0.0005,able,1.075690746307373
[2],5,0.0005,able,2.072404384613037
"[0, 1, 2]",5,0.0005,able,12.663381814956665
[0],3,0.0005,able,0.7647011280059814
[1],3,0.0005,able,0.5763821601867676
[2],3,0.0005,able,1.425764799118042
"[0, 1, 2]",3,0.0005,able,2.338066339492798
[0],10,0.00075,able,5.150670051574707
[1],10,0.00075,able,6.5303614139556885
[2],10,0.00075,able,7.957111120223999
"[0, 1, 2]",10,0.00075,able,34.20180869102478
[0],5,0.00075,able,0.9451253414154053
[1],5,0.00075,able,1.1576001644134521
[2],5,0.00075,able,3.619319438934326
"[0, 1, 2]",5,0.00075,able,6.947665214538574
[0],3,0.00075,able,0.5108656883239746
[1],3,0.00075,able,0.5214986801147461
[2],3,0.00075,able,0.9928116798400879
"[0, 1, 2]",3,0.00075,able,4.231709957122803
[0],10,0.001,able,6.094654560089111
[1],10,0.001,able,4.005072355270386
[2],10,0.001,able,7.188210964202881
"[0, 1, 2]",10,0.001,able,26.267512798309326
[0],5,0.001,able,1.7669906616210938
[1],5,0.001,able,1.3207995891571045
[2],5,0.001,able,2.5546765327453613
"[0, 1, 2]",5,0.001,able,10.612964868545532
[0],3,0.001,able,0.7912375926971436
[1],3,0.001,able,0.6728715896606445
[2],3,0.001,able,0.7444863319396973
"[0, 1, 2]",3,0.001,able,4.558706045150757
[0],10,0.00125,able,4.761793851852417
[1],10,0.00125,able,6.202178955078125
[2],10,0.00125,able,5.622215032577515
"[0, 1, 2]",10,0.00125,able,32.95710825920105
[0],5,0.00125,able,1.8075015544891357
[1],5,0.00125,able,1.1494190692901611
[2],5,0.00125,able,1.972747802734375
"[0, 1, 2]",5,0.00125,able,7.741479396820068
[0],3,0.00125,able,0.913231611251831
[1],3,0.00125,able,0.609175443649292
[2],3,0.00125,able,1.0505919456481934
"[0, 1, 2]",3,0.00125,able,3.208491325378418
[0],10,0.0015,able,4.910298824310303
[1],10,0.0015,able,4.984891176223755
[2],10,0.0015,able,8.815037965774536
"[0, 1, 2]",10,0.0015,able,34.71632504463196
[0],5,0.0015,able,1.7685492038726807
[1],5,0.0015,able,1.5056114196777344
[2],5,0.0015,able,2.7124881744384766
"[0, 1, 2]",5,0.0015,able,8.00261926651001
[0],3,0.0015,able,0.9103038311004639
[1],3,0.0015,able,0.6281969547271729
[2],3,0.0015,able,1.094327449798584
"[0, 1, 2]",3,0.0015,able,3.0113534927368164
[0],10,0.00175,able,4.9004809856414795
[1],10,0.00175,able,6.366819620132446
[2],10,0.00175,able,10.50529670715332
"[0, 1, 2]",10,0.00175,able,31.056819438934326
[0],5,0.00175,able,1.4440062046051025
[1],5,0.00175,able,1.126927137374878
[2],5,0.00175,able,4.008151054382324
"[0, 1, 2]",5,0.00175,able,4.964864015579224
[0],3,0.00175,able,0.7671463489532471
[1],3,0.00175,able,0.6933305263519287
[2],3,0.00175,able,0.8025434017181396
"[0, 1, 2]",3,0.00175,able,5.056182384490967
[0],10,0.002,able,5.172783613204956
[1],10,0.002,able,5.363092422485352
[2],10,0.002,able,7.996768236160278
"[0, 1, 2]",10,0.002,able,48.122661113739014
[0],5,0.002,able,1.1186046600341797
[1],5,0.002,able,1.2163403034210205
[2],5,0.002,able,2.270624876022339
"[0, 1, 2]",5,0.002,able,8.901788711547852
[0],3,0.002,able,0.629706859588623
[1],3,0.002,able,0.750521183013916
[2],3,0.002,able,1.1620666980743408
"[0, 1, 2]",3,0.002,able,3.2398085594177246
[0],10,0.0022500000000000003,able,4.310765266418457
[1],10,0.0022500000000000003,able,5.926081895828247
[2],10,0.0022500000000000003,able,24.392548322677612
"[0, 1, 2]",10,0.0022500000000000003,able,41.545119285583496
[0],5,0.0022500000000000003,able,1.4939234256744385
[1],5,0.0022500000000000003,able,1.2964351177215576
[2],5,0.0022500000000000003,able,3.0427918434143066
"[0, 1, 2]",5,0.0022500000000000003,able,6.459147214889526
[0],3,0.0022500000000000003,able,0.9548549652099609
[1],3,0.0022500000000000003,able,0.6709771156311035
[2],3,0.0022500000000000003,able,0.9163053035736084
"[0, 1, 2]",3,0.0022500000000000003,able,5.084653377532959
[0],10,0.0025,able,10.14586091041565
[1],10,0.0025,able,4.319096565246582
[2],10,0.0025,able,7.66884970664978
"[0, 1, 2]",10,0.0025,able,34.44559121131897
[0],5,0.0025,able,1.4211773872375488
[1],5,0.0025,able,1.1569311618804932
[2],5,0.0025,able,2.8347628116607666
"[0, 1, 2]",5,0.0025,able,7.366436004638672
[0],3,0.0025,able,0.8739013671875
[1],3,0.0025,able,0.6655194759368896
[2],3,0.0025,able,1.0731308460235596
"[0, 1, 2]",3,0.0025,able,3.475499153137207
[0],10,0.00275,able,4.922157287597656
[1],10,0.00275,able,5.928584575653076
[2],10,0.00275,able,5.722075700759888
"[0, 1, 2]",10,0.00275,able,23.051826000213623
[0],5,0.00275,able,1.0312237739562988
[1],5,0.00275,able,1.0626235008239746
[2],5,0.00275,able,2.897383689880371
"[0, 1, 2]",5,0.00275,able,7.49629020690918
[0],3,0.00275,able,0.8267052173614502
[1],3,0.00275,able,0.6465137004852295
[2],3,0.00275,able,0.8794584274291992
"[0, 1, 2]",3,0.00275,able,2.728132963180542
[0],10,0.003,able,5.672857761383057
[1],10,0.003,able,4.8831706047058105
[2],10,0.003,able,8.282913446426392
"[0, 1, 2]",10,0.003,able,54.846800565719604
[0],5,0.003,able,1.63395094871521
[1],5,0.003,able,1.3480794429779053
[2],5,0.003,able,2.8638505935668945
"[0, 1, 2]",5,0.003,able,18.7219500541687
[0],3,0.003,able,0.7877771854400635
[1],3,0.003,able,0.49411845207214355
[2],3,0.003,able,1.2744927406311035
